Title,Artist,Position,ID,Year,Tonality,MIC,RIC,Unique Word Ratio
The Stripper,David Rose,5,1962_05_2,1962,0.56,0.8396487385757682,0.2613574051420073,0.0
The Stripper,David Rose,5,1962_05_3,1962,0.59,0.666473789530995,0.3885937060585641,0.0
The Stripper,David Rose,5,1962_05_4,1962,0.93,0.9451610714351772,0.3677735287179992,0.0
The Stripper,David Rose,5,1962_05_5,1962,0.85,0.9383354990958509,0.2808436414555496,0.0
Surfin' USA,The Beach Boys,1,1963_01_1,1963,0.77,0.527107848116607,0.2246596954221817,0.5
Surfin' USA,The Beach Boys,1,1963_01_2,1963,0.75,0.6547413355019357,0.29416769447875435,0.5
The End of the World,Skeeter Davis,2,1963_02_1,1963,0.76,0.8553546634501623,0.4268993547107541,0.42
The End of the World,Skeeter Davis,2,1963_02_2,1963,0.66,0.7164370357809995,0.4123802499613519,0.42
Rhythm of the Rain,The Cascades,3,1963_03_1,1963,0.86,0.6386965251444465,0.21763782868362594,0.37
Rhythm of the Rain,The Cascades,3,1963_03_2,1963,0.88,0.8170416715124672,0.187714950902471,0.37
He's So Fine,The Chiffons,4,1963_04_1,1963,0.88,0.5829474434510709,0.30696038382426094,0.42
He's So Fine,The Chiffons,4,1963_04_2,1963,0.77,0.5928099204000066,0.2417115296595274,0.42
Blue Velvet,Bobby Vinton,5,1963_05_1,1963,0.84,0.9227821320740234,0.4962765533981385,0.46
Blue Velvet,Bobby Vinton,5,1963_05_2,1963,0.63,0.6944411219276784,0.46596534828296077,0.46
Blue Velvet,Bobby Vinton,5,1963_05_3,1963,0.75,0.9978294275787222,0.17799495653940126,0.46
I Want to Hold Your Hand,The Beatles,1,1964_01_1,1964,0.9,0.6206339661220098,0.35214037878966303,0.22
I Want to Hold Your Hand,The Beatles,1,1964_01_2,1964,0.79,0.5970028327578815,0.3136894957145485,0.22
She Loves You,The Beatles,2,1964_02_1,1964,0.76,0.5369330630848205,0.30262858508630547,0.26
She Loves You,The Beatles,2,1964_02_2,1964,0.73,0.803584689761907,0.3058933628873979,0.26
She Loves You,The Beatles,2,1964_02_3,1964,0.61,0.7028753234014639,0.4254409144750576,0.26
"Hello, Dolly!",Louis Armstrong,3,1964_03_1,1964,0.8,0.8931689085621589,0.36188647168035143,0.58
"Hello, Dolly!",Louis Armstrong,3,1964_03_2,1964,0.78,0.6369745323721576,0.40683741213412666,0.58
"Oh, Pretty Woman",Roy Orbison,4,1964_04_1,1964,0.87,0.540744580811279,0.2592241252690874,0.53
"Oh, Pretty Woman",Roy Orbison,4,1964_04_2,1964,0.64,0.49174748702241616,0.32183480075736315,0.53
"Oh, Pretty Woman",Roy Orbison,4,1964_04_3,1964,0.71,0.6868493922111818,0.41035702058950796,0.53
I Get Around,The Beach Boys,5,1964_05_1,1964,0.83,0.4776727753754593,0.25717479736962484,0.24
I Get Around,The Beach Boys,5,1964_05_2,1964,0.54,0.9125887467548972,0.2985274088231745,0.24
I Get Around,The Beach Boys,5,1964_05_3,1964,0.82,0.4146951175988288,0.14547254231498918,0.24
I Get Around,The Beach Boys,5,1964_05_4,1964,0.85,0.9127014899506122,0.5131385615115245,0.24
Wooly Bully,Sam the Sham and the Pharaohs,1,1965_01_1,1965,0.8,0.6537775761746654,0.28981794476026385,0.4
Wooly Bully,Sam the Sham and the Pharaohs,1,1965_01_2,1965,0.83,0.8990643495368361,0.25485303952801813,0.4
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,2,1965_02_1,1965,0.72,0.5575935196033631,0.3200005329316409,0.35
I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,2,1965_02_2,1965,0.79,0.5832486060535871,0.2533123618206788,0.35
(I Can't Get No) Satisfaction,The Rolling Stones,3,1965_03_1,1965,0.84,0.6865735613738663,0.4728278396220889,0.29
(I Can't Get No) Satisfaction,The Rolling Stones,3,1965_03_2,1965,0.74,0.37563305703249633,0.33845496153789206,0.29
You Were On My Mind,We Five,4,1965_04_1,1965,0.75,0.6517034736387778,0.39792411285550816,0.28
You've Lost That Lovin' Feelin',The Righteous Brothers,5,1965_05_1,1965,0.79,0.8239914386362558,0.3392594292353708,0.36
You've Lost That Lovin' Feelin',The Righteous Brothers,5,1965_05_2,1965,0.86,0.8192859170031463,0.40171099309372876,0.36
You've Lost That Lovin' Feelin',The Righteous Brothers,5,1965_05_3,1965,0.87,0.8867494599042527,0.3251602455457331,0.36
You've Lost That Lovin' Feelin',The Righteous Brothers,5,1965_05_4,1965,0.82,0.6443940628114253,0.32898922632850647,0.36
California Dreamin',The Mamas & The Papas,1,1966_01_1,1966,0.83,0.6390831492165449,0.27506448080131346,0.28
California Dreamin',The Mamas & The Papas,1,1966_01_2,1966,0.73,0.637380478784402,0.351559953983123,0.28
96 Tears,? and the Mysterians,2,1966_02_1,1966,0.69,0.5259189392093404,0.3731469532505589,0.36
96 Tears,? and the Mysterians,2,1966_02_2,1966,0.71,0.7667810207664706,0.3264448763282656,0.36
96 Tears,? and the Mysterians,2,1966_02_3,1966,0.44,0.3604182564092477,0.45528321067093735,0.36
96 Tears,? and the Mysterians,2,1966_02_4,1966,0.55,0.49595193960362605,0.3317726687356122,0.36
What Becomes Of The Brokenhearted,Jimmy Ruffin,3,1966_03_1,1966,0.76,0.5806463654626777,0.32245902595640863,0.5
What Becomes Of The Brokenhearted,Jimmy Ruffin,3,1966_03_2,1966,0.61,0.5783185198287609,0.27261445770858594,0.5
What Becomes Of The Brokenhearted,Jimmy Ruffin,3,1966_03_3,1966,0.73,0.4195569906448639,0.1635261731509438,0.5
Last Train to Clarksville,The Monkees,4,1966_04_1,1966,0.75,0.5878442562516271,0.3246388758016879,0.31
Last Train to Clarksville,The Monkees,4,1966_04_2,1966,0.64,0.30986778828797656,0.06658010767352748,0.31
Reach Out I'll Be There,Four Tops,5,1966_05_1,1966,0.63,0.4975472558229937,0.274666232802946,0.32
Reach Out I'll Be There,Four Tops,5,1966_05_2,1966,0.57,0.5351230029860673,0.45121052151487595,0.32
To Sir With Love,Lulu,1,1967_01_1,1967,0.72,0.6451072876127459,0.48087475863770995,0.63
To Sir With Love,Lulu,1,1967_01_2,1967,0.64,0.8288340779767325,0.3547959662537744,0.63
To Sir With Love,Lulu,1,1967_01_3,1967,0.66,0.6683506446551342,0.3211878913804661,0.63
The Letter,The Box Tops,2,1967_02_1,1967,0.92,0.5639447019017256,0.20573382277856514,0.29
The Letter,The Box Tops,2,1967_02_2,1967,0.52,0.4939652839520877,0.2623914988517176,0.29
Ode to Billie Joe,Bobbie Gentry,3,1967_03_1,1967,0.8,0.40268424460248947,0.16447361857665121,0.54
Windy,The Association,4,1967_04_1,1967,0.78,0.39998771453705056,0.22781730953294546,0.21
Windy,The Association,4,1967_04_2,1967,0.81,0.7727435758510498,0.29738118376403244,0.21
I'm a Believer,The Monkees,5,1967_05_1,1967,0.72,0.530168666338012,0.3491898383980342,0.32
I'm a Believer,The Monkees,5,1967_05_2,1967,0.71,0.5905442607929088,0.3635995667239969,0.32
I'm a Believer,The Monkees,5,1967_05_3,1967,0.69,0.6210966386704629,0.3153829106219829,0.32
Hey Jude,The Beatles,1,1968_01_1,1968,0.91,0.8955685127583798,0.3041750657228626,0.17
Hey Jude,The Beatles,1,1968_01_2,1968,0.78,0.5449385390572902,0.3415389106860848,0.17
Hey Jude,The Beatles,1,1968_01_3,1968,0.86,0.718207121680643,0.612461556619702,0.17
Love is Blue,Paul Mauriat,2,1968_02_1,1968,0.84,0.6619615799339348,0.3542945111077268,0.0
Love is Blue,Paul Mauriat,2,1968_02_2,1968,0.91,0.9627539735036401,0.5880889168659114,0.0
Honey,Bobby Goldsboro,3,1968_03_1,1968,0.57,0.6542038553613571,0.3922909632788646,0.46
Honey,Bobby Goldsboro,3,1968_03_2,1968,0.5,0.6416717755347641,0.4915918750175187,0.46
(Sitting' On) The Dock of the Bay,Otis Redding,4,1968_04_1,1968,0.57,0.6033635344109765,0.25233184262920194,0.46
(Sitting' On) The Dock of the Bay,Otis Redding,4,1968_04_2,1968,0.74,0.6644539136359396,0.20758659843156557,0.46
(Sitting' On) The Dock of the Bay,Otis Redding,4,1968_04_3,1968,0.66,0.6444878736591807,0.24153229827754877,0.46
People Got to Be Free,The Rascals,5,1968_05_1,1968,0.77,0.47637640589391217,0.21193927892238834,0.46
People Got to Be Free,The Rascals,5,1968_05_2,1968,0.8,0.5358425208431236,0.26550547376245415,0.46
"Sugar, Sugar",The Archies,1,1969_01_1,1969,0.84,0.8665628793460644,0.4232945340498126,0.26
"Sugar, Sugar",The Archies,1,1969_01_2,1969,0.71,0.4197287112953185,0.16505846884941291,0.26
"Sugar, Sugar",The Archies,1,1969_01_3,1969,0.74,0.3535763043980912,0.22441863939785434,0.26
Aquarius/Let the Sunshine In (The Flesh Failures),The 5th Dimension,2,1969_02_1,1969,0.77,0.540167073290838,0.4101940110323884,0.25
Aquarius/Let the Sunshine In (The Flesh Failures),The 5th Dimension,2,1969_02_2,1969,0.72,0.8005850648599373,0.3400250202378622,0.25
Aquarius/Let the Sunshine In (The Flesh Failures),The 5th Dimension,2,1969_02_3,1969,0.82,0.5979597494949717,0.2930591005363583,0.25
Aquarius/Let the Sunshine In (The Flesh Failures),The 5th Dimension,2,1969_02_4,1969,0.59,0.6931209983765937,0.36230431189176,0.25
Aquarius/Let the Sunshine In (The Flesh Failures),The 5th Dimension,2,1969_02_5,1969,0.64,0.7950197877249129,0.363160156028223,0.25
I Can't Get Next to You,The Temptations,3,1969_03_1,1969,0.7,0.6568299741102269,0.3747314020426803,0.33
I Can't Get Next to You,The Temptations,3,1969_03_2,1969,0.79,0.5500074270466523,0.27215453160648634,0.33
I Can't Get Next to You,The Temptations,3,1969_03_3,1969,0.9,0.6521036942566485,0.344189398606338,0.33
Honky Tonk Women,The Rolling Stones,4,1969_04_1,1969,0.77,0.5845552926011572,0.31534483988938705,0.47
Honky Tonk Women,The Rolling Stones,4,1969_04_2,1969,0.79,0.8529446535533306,0.38196283365685346,0.47
Everyday People,Sly and the Family Stone,5,1969_05_1,1969,0.92,0.7032518254036323,0.2597586688347661,0.41
Everyday People,Sly and the Family Stone,5,1969_05_2,1969,0.63,0.8364817183912299,0.5495462859629358,0.41
Everyday People,Sly and the Family Stone,5,1969_05_3,1969,0.78,0.5047195312160612,0.23777498953216047,0.41
Bridge Over Troubled Water,Simon and Garfunkel,1,1970_01_1,1970,0.85,0.8290020759744983,0.6364228185150769,0.48
Bridge Over Troubled Water,Simon and Garfunkel,1,1970_01_2,1970,0.91,0.6493030540043487,0.31401724398446373,0.48
(They Long To Be) Close To You,The Carpenters,2,1970_02_1,1970,0.84,0.8518947414066933,0.46148597050421486,0.29
(They Long To Be) Close To You,The Carpenters,2,1970_02_2,1970,0.73,0.6001086773499023,0.29078246193480656,0.29
(They Long To Be) Close To You,The Carpenters,2,1970_02_3,1970,0.88,0.9321673294944323,0.5601685185884879,0.29
American Woman,The Guess Who,3,1970_03_1,1970,0.89,0.4723899057641671,0.2672901089587298,0.3
American Woman,The Guess Who,3,1970_03_2,1970,0.84,0.48997332393173254,0.29381748183891243,0.3
American Woman,The Guess Who,3,1970_03_3,1970,0.85,0.38360829088359966,0.3207240673511646,0.3
Raindrops Keep Fallin' on My Head,B.J. Thomas,4,1970_04_1,1970,0.69,0.7422188874187327,0.2819530853219219,0.45
Raindrops Keep Fallin' on My Head,B.J. Thomas,4,1970_04_2,1970,0.66,0.7456593275797975,0.6114916761317912,0.45
War,Edwin Starr,5,1970_05_1,1970,0.7,0.6903525147527574,0.358701850502546,0.36
War,Edwin Starr,5,1970_05_2,1970,0.58,0.4528972099402357,0.2811458040830043,0.36
Joy To The World,Three Dog Night,1,1971_01_1,1971,0.84,0.6937281453032037,0.19601267076042417,0.25
Joy To The World,Three Dog Night,1,1971_01_2,1971,0.68,0.7516452467417278,0.3819169377621305,0.25
Joy To The World,Three Dog Night,1,1971_01_3,1971,0.63,0.44791335797443416,0.4877810796770669,0.25
Maggie May,Rod Stewart,2a,1971_02a_1,1971,0.53,0.6538692420653953,0.33291515706003066,0.45
